id,trial,1,2,3,4,Spreadsheet,bug_id
9398850.0,1.0,21111,21211,21121,21221,Spreadsheet11,2
9398850.0,2.0,11221,11211,11121,11111,Spreadsheet11,1
9398850.0,3.0,11211,11111,11221,11121,Spreadsheet11,1
9398850.0,4.0,21111,21221,21211,21121,Spreadsheet11,2
9398850.0,5.0,21211,21111,21221,21121,Spreadsheet11,2
9398850.0,6.0,11121,11111,11221,21221,Spreadsheet11,1
9398850.0,7.0,21111,21121,21211,21221,Spreadsheet11,2
9398850.0,8.0,11221,11211,11111,21121,Spreadsheet11,1
9398850.0,9.0,21121,11111,11121,11221,Spreadsheet11,1
9398850.0,10.0,21211,21111,21221,21121,Spreadsheet11,2
9682889.0,1.0,21111,21221,21211,21121,Spreadsheet31,2
9682889.0,2.0,21221,11211,21211,11221,Spreadsheet31,1
9682889.0,3.0,21111,11111,11121,21121,Spreadsheet31,1
9682889.0,4.0,11111,21121,21111,21211,Spreadsheet31,1
9682889.0,5.0,11211,21221,21211,11121,Spreadsheet31,2
9682889.0,6.0,21111,21121,11211,11221,Spreadsheet31,1
9682889.0,7.0,11221,11121,11211,21211,Spreadsheet31,2
9682889.0,8.0,11111,11121,21111,21211,Spreadsheet31,2
9682889.0,9.0,21121,21111,11121,11221,Spreadsheet31,2
9682889.0,10.0,11211,11111,21211,21221,Spreadsheet31,1
9682908.0,1.0,21211,11221,11211,21221,Spreadsheet25,1
9682908.0,2.0,21221,21111,11221,11211,Spreadsheet25,2
9682908.0,3.0,11111,21111,11221,21211,Spreadsheet25,1
9682908.0,4.0,21121,11211,21221,11121,Spreadsheet25,2
9682908.0,5.0,11211,11111,21111,11221,Spreadsheet25,1
9682908.0,6.0,21121,11221,11121,11211,Spreadsheet25,2
9682908.0,7.0,21221,11121,21121,11211,Spreadsheet25,1
9682908.0,8.0,21121,21221,11121,11211,Spreadsheet25,2
9682908.0,9.0,21111,21211,11111,11221,Spreadsheet25,1
9682908.0,10.0,21121,21221,11121,11211,Spreadsheet25,2
9682904.0,1.0,11221,11211,21211,21221,Spreadsheet28,2
9682904.0,2.0,21211,21221,11211,11221,Spreadsheet28,2
9682904.0,3.0,21111,21121,11121,11111,Spreadsheet28,1
9682904.0,4.0,11221,11211,21221,21211,Spreadsheet28,2
9682904.0,5.0,11121,21121,11111,21111,Spreadsheet28,1
9682904.0,6.0,11121,11111,21121,21111,Spreadsheet28,1
9682904.0,7.0,21121,21111,11121,11221,Spreadsheet28,1
9682904.0,8.0,21221,21211,11211,11221,Spreadsheet28,2
9682904.0,9.0,11111,21121,21111,21211,Spreadsheet28,1
9682904.0,10.0,11221,21221,11121,21121,Spreadsheet28,2
9398813.0,1.0,21221,21211,21121,21111,Spreadsheet12,2
9398813.0,2.0,11211,11221,11121,11111,Spreadsheet12,1
9398813.0,3.0,11221,21211,11211,21221,Spreadsheet12,1
9398813.0,4.0,21111,21121,11121,11111,Spreadsheet12,2
9398813.0,5.0,11121,11111,21111,21121,Spreadsheet12,2
9398813.0,6.0,21221,21211,11211,11221,Spreadsheet12,1
9398813.0,7.0,21121,21111,11111,21221,Spreadsheet12,2
9398813.0,8.0,11211,11221,11121,21211,Spreadsheet12,1
9398813.0,9.0,11221,11211,11121,21221,Spreadsheet12,1
9398813.0,10.0,21111,21121,21211,21221,Spreadsheet12,2
9682945.0,1.0,21221,11221,21121,11121,Spreadsheet42,1
9682945.0,2.0,21221,21121,11221,11121,Spreadsheet42,2
9682945.0,3.0,21111,11111,11211,21211,Spreadsheet42,1
9682945.0,4.0,21211,11211,11111,21111,Spreadsheet42,1
9682945.0,5.0,11211,21111,21211,11121,Spreadsheet42,1
9682945.0,6.0,21211,11221,21121,11111,Spreadsheet42,2
9682945.0,7.0,11111,11121,21211,21221,Spreadsheet42,2
9682945.0,8.0,11121,21211,21221,11111,Spreadsheet42,1
9682945.0,9.0,11121,11111,21211,11221,Spreadsheet42,2
9682945.0,10.0,11221,11121,11111,21211,Spreadsheet42,2
9682892.0,1.0,11111,21211,11211,21111,Spreadsheet21,2
9682892.0,2.0,21111,21211,11111,11211,Spreadsheet21,2
9682892.0,3.0,21211,11111,21111,11211,Spreadsheet21,2
9682892.0,4.0,11221,21121,21221,11121,Spreadsheet21,1
9682892.0,5.0,21221,11221,21121,11121,Spreadsheet21,1
9682892.0,6.0,11221,11121,21221,21121,Spreadsheet21,1
9682892.0,7.0,11221,11111,21211,21111,Spreadsheet21,2
9682892.0,8.0,11111,21211,21111,11221,Spreadsheet21,2
9682892.0,9.0,11121,21221,21121,11221,Spreadsheet21,1
9682892.0,10.0,21111,21221,11121,11221,Spreadsheet21,1
9398836.0,1.0,21111,21121,11211,11111,Spreadsheet24,2
9398836.0,2.0,21121,21111,11111,11121,Spreadsheet24,2
9398836.0,3.0,11221,11111,21221,11211,Spreadsheet24,1
9398836.0,4.0,11121,21111,21121,21211,Spreadsheet24,1
9398836.0,5.0,11211,11221,11121,21111,Spreadsheet24,1
9398836.0,6.0,11211,11221,11121,21111,Spreadsheet24,1
9398836.0,7.0,11221,21121,21111,21221,Spreadsheet24,2
9398836.0,8.0,21121,11221,21111,21211,Spreadsheet24,2
9398836.0,9.0,21121,11221,21111,21211,Spreadsheet24,2
9398836.0,10.0,11211,11221,11121,11111,Spreadsheet24,1
9682897.0,1.0,21211,21221,11211,11221,Spreadsheet10,2
9682897.0,2.0,11221,21211,21221,11211,Spreadsheet10,2
9682897.0,3.0,21111,21121,11111,11121,Spreadsheet10,1
9682897.0,4.0,21221,11211,11221,21211,Spreadsheet10,2
9682897.0,5.0,21121,11121,11111,21111,Spreadsheet10,1
9682897.0,6.0,21121,11111,11121,21111,Spreadsheet10,1
9682897.0,7.0,21121,21111,11121,11111,Spreadsheet10,1
9682897.0,8.0,11211,11221,21221,21211,Spreadsheet10,2
9682897.0,9.0,11221,11211,21211,21221,Spreadsheet10,2
9682897.0,10.0,11121,21121,11111,21111,Spreadsheet10,1
9398848.0,1.0,11221,21221,11121,21121,Spreadsheet43,1
9398848.0,2.0,21121,21221,21111,21211,Spreadsheet43,1
9398848.0,3.0,21211,11121,21111,21121,Spreadsheet43,1
9398848.0,4.0,11221,21211,21221,11111,Spreadsheet43,2
9398848.0,5.0,21121,21221,11221,11211,Spreadsheet43,2
9398848.0,6.0,11221,21211,21221,21111,Spreadsheet43,1
9398848.0,7.0,11121,11221,21121,11211,Spreadsheet43,1
9398848.0,8.0,11211,21221,11111,21111,Spreadsheet43,2
9398848.0,9.0,21221,11211,11111,21211,Spreadsheet43,2
9398848.0,10.0,21211,11221,11211,11111,Spreadsheet43,2
9682891.0,1.0,11221,21211,11211,21221,Spreadsheet23,1
9682891.0,2.0,21111,21211,21121,21221,Spreadsheet23,2
9682891.0,3.0,11121,11211,21111,11221,Spreadsheet23,1
9682891.0,4.0,11221,21111,11121,11111,Spreadsheet23,1
9682891.0,5.0,21211,21111,21121,21221,Spreadsheet23,2
9682891.0,6.0,11221,21111,21211,11211,Spreadsheet23,1
9682891.0,7.0,21111,21121,11211,21211,Spreadsheet23,2
9682891.0,8.0,11221,21211,21111,21121,Spreadsheet23,2
9682891.0,9.0,11211,11121,21111,11221,Spreadsheet23,1
9682891.0,10.0,21111,21121,11121,11221,Spreadsheet23,2
9682901.0,1.0,11211,21221,21211,11221,Spreadsheet18,1
9682901.0,2.0,21121,21111,11121,11111,Spreadsheet18,2
9682901.0,3.0,21121,21111,11121,21211,Spreadsheet18,2
9682901.0,4.0,11211,11221,11121,11111,Spreadsheet18,1
9682901.0,5.0,11121,11111,11221,11211,Spreadsheet18,1
9682901.0,6.0,21111,21221,21211,21121,Spreadsheet18,2
9682901.0,7.0,21211,21221,11211,11221,Spreadsheet18,2
9682901.0,8.0,21121,11111,21111,11121,Spreadsheet18,2
9682901.0,9.0,11211,11221,21211,21221,Spreadsheet18,1
9682901.0,10.0,21221,11221,11211,21211,Spreadsheet18,1
9399464.0,1.0,11211,11221,21211,21221,Spreadsheet22,1
9399464.0,2.0,21121,21111,11121,11111,Spreadsheet22,2
9399464.0,3.0,21121,21111,11111,11121,Spreadsheet22,2
9399464.0,4.0,21221,11211,21211,11221,Spreadsheet22,1
9399464.0,5.0,11211,21221,21211,11221,Spreadsheet22,1
9399464.0,6.0,21121,21111,11111,11121,Spreadsheet22,2
9399464.0,7.0,21211,21111,21121,11111,Spreadsheet22,2
9399464.0,8.0,11221,11211,21221,11121,Spreadsheet22,1
9399464.0,9.0,21111,21121,21221,11111,Spreadsheet22,2
9399464.0,10.0,11211,21211,11221,11121,Spreadsheet22,1
9682886.0,1.0,11111,21211,21111,11211,Spreadsheet41,2
9682886.0,2.0,21211,21111,21121,21221,Spreadsheet41,1
9682886.0,3.0,21111,21121,21211,21221,Spreadsheet41,1
9682886.0,4.0,11111,11121,21121,21221,Spreadsheet41,2
9682886.0,5.0,11121,21221,11221,11211,Spreadsheet41,2
9682886.0,6.0,11121,11221,11111,21121,Spreadsheet41,2
9682886.0,7.0,21211,21121,21221,11211,Spreadsheet41,1
9682886.0,8.0,11121,11221,11111,11211,Spreadsheet41,2
9682886.0,9.0,21221,21111,21121,21211,Spreadsheet41,1
9682886.0,10.0,21211,21111,21221,21121,Spreadsheet41,1
9682895.0,1.0,21221,21111,21211,21121,Spreadsheet3,2
9682895.0,2.0,11221,11211,11111,11121,Spreadsheet3,1
9682895.0,3.0,11211,11221,21211,21111,Spreadsheet3,1
9682895.0,4.0,21211,11211,21221,11221,Spreadsheet3,1
9682895.0,5.0,11211,21111,21221,21211,Spreadsheet3,1
9682895.0,6.0,21221,11211,11111,11221,Spreadsheet3,2
9682895.0,7.0,21121,11121,21221,21111,Spreadsheet3,2
9682895.0,8.0,21121,21111,21221,21211,Spreadsheet3,2
9682895.0,9.0,21121,21221,11121,21211,Spreadsheet3,2
9682895.0,10.0,11111,11211,21111,21211,Spreadsheet3,1
9398806.0,1.0,11211,21211,21221,11221,Spreadsheet38,1
9398806.0,2.0,11221,21221,11211,21211,Spreadsheet38,1
9398806.0,3.0,21121,21111,11121,11111,Spreadsheet38,2
9398806.0,4.0,11111,21121,21111,11121,Spreadsheet38,2
9398806.0,5.0,21121,11121,11111,21111,Spreadsheet38,2
9398806.0,6.0,21121,11121,21221,11221,Spreadsheet38,2
9398806.0,7.0,11111,21121,11121,21111,Spreadsheet38,1
9398806.0,8.0,21121,21111,21211,11121,Spreadsheet38,1
9398806.0,9.0,21211,21111,21121,11121,Spreadsheet38,2
9398806.0,10.0,21221,11211,11221,21111,Spreadsheet38,1
9682887.0,1.0,21211,11221,21221,11211,Spreadsheet32,2
9682887.0,2.0,11211,11221,21211,21221,Spreadsheet32,2
9682887.0,3.0,11211,21211,11221,21221,Spreadsheet32,2
9682887.0,4.0,11221,11211,11111,11121,Spreadsheet32,1
9682887.0,5.0,21121,21111,11121,11111,Spreadsheet32,1
9682887.0,6.0,11111,11121,21111,21121,Spreadsheet32,1
9682887.0,7.0,21121,11111,11121,21111,Spreadsheet32,1
9682887.0,8.0,11221,21221,11211,21211,Spreadsheet32,2
9682887.0,9.0,21211,11211,11221,21221,Spreadsheet32,2
9682887.0,10.0,21121,11121,21111,11111,Spreadsheet32,1
9398835.0,1.0,11121,11221,11211,11111,Spreadsheet29,2
9398835.0,2.0,21111,21121,21221,21211,Spreadsheet29,1
9398835.0,3.0,21111,21211,21221,21121,Spreadsheet29,1
9398835.0,4.0,21221,21121,21211,21111,Spreadsheet29,1
9398835.0,5.0,11221,11211,11111,11121,Spreadsheet29,2
9398835.0,6.0,11121,11211,11111,11221,Spreadsheet29,2
9398835.0,7.0,21211,21221,21121,21111,Spreadsheet29,1
9398835.0,8.0,11211,11121,11221,11111,Spreadsheet29,2
9398835.0,9.0,21121,21221,21211,11221,Spreadsheet29,1
9398835.0,10.0,11111,11221,11211,11121,Spreadsheet29,2
9682896.0,1.0,11221,21211,11211,21221,Spreadsheet37,1
9682896.0,2.0,11121,21111,21121,11111,Spreadsheet37,2
9682896.0,3.0,11211,11221,21221,21211,Spreadsheet37,1
9682896.0,4.0,21221,21211,21121,21111,Spreadsheet37,1
9682896.0,5.0,11121,21121,21221,11221,Spreadsheet37,2
9682896.0,6.0,21221,21211,11221,11211,Spreadsheet37,2
9682896.0,7.0,11211,21211,11111,21111,Spreadsheet37,1
9682896.0,8.0,21121,21221,21211,21111,Spreadsheet37,1
9682896.0,9.0,11221,21221,11211,21211,Spreadsheet37,2
9682896.0,10.0,11211,11111,11221,11121,Spreadsheet37,2
9682900.0,1.0,21221,11121,21121,11221,Spreadsheet39,2
9682900.0,2.0,11121,21211,11111,21111,Spreadsheet39,1
9682900.0,3.0,11211,11111,21211,21111,Spreadsheet39,1
9682900.0,4.0,21121,11221,11121,21221,Spreadsheet39,2
9682900.0,5.0,11111,11211,21211,21111,Spreadsheet39,1
9682900.0,6.0,21211,21121,11221,21221,Spreadsheet39,2
9682900.0,7.0,11211,21211,21111,11121,Spreadsheet39,1
9682900.0,8.0,21221,11121,21121,11221,Spreadsheet39,2
9682900.0,9.0,21111,11211,21211,11111,Spreadsheet39,1
9682900.0,10.0,21221,11221,11121,21121,Spreadsheet39,2
9398843.0,1.0,21211,21221,21121,21111,Spreadsheet9,2
9398843.0,2.0,11111,11211,21211,21111,Spreadsheet9,2
9398843.0,3.0,11121,21121,21111,11111,Spreadsheet9,1
9398843.0,4.0,21121,21221,21111,21211,Spreadsheet9,1
9398843.0,5.0,11221,21221,11121,21121,Spreadsheet9,1
9398843.0,6.0,11221,21221,11121,21121,Spreadsheet9,2
9398843.0,7.0,21221,11221,21121,11121,Spreadsheet9,2
9398843.0,8.0,21111,11111,11121,21121,Spreadsheet9,2
9398843.0,9.0,11121,11221,21221,21121,Spreadsheet9,1
