id,trial,1,2,3,4,Spreadsheet,bug_id
10937270.0,1.0,21121,11121,11221,21221,Spreadsheet42,2
10937270.0,2.0,11221,11121,11211,11111,Spreadsheet42,2
10937270.0,3.0,21121,21111,11211,11221,Spreadsheet42,1
10937270.0,4.0,21221,11111,21211,11221,Spreadsheet42,1
10937270.0,5.0,11221,21121,21221,11121,Spreadsheet42,2
10937270.0,6.0,11211,21111,11111,21211,Spreadsheet42,1
10937270.0,7.0,21221,21211,21111,11121,Spreadsheet42,2
10937270.0,8.0,11221,11211,21221,21211,Spreadsheet42,1
10937270.0,9.0,21111,21221,21211,21121,Spreadsheet42,1
10937270.0,10.0,11121,11111,11221,11211,Spreadsheet42,2
10937291.0,1.0,21111,21121,21221,21211,Spreadsheet17,2
10937291.0,2.0,11211,21211,21221,11221,Spreadsheet17,1
10937291.0,3.0,21121,21111,21221,21211,Spreadsheet17,2
10937291.0,4.0,21211,11111,11211,21111,Spreadsheet17,2
10937291.0,5.0,11121,21111,21121,11111,Spreadsheet17,1
10937291.0,6.0,21221,11221,11121,21121,Spreadsheet17,1
10937291.0,7.0,21121,11111,11121,21111,Spreadsheet17,2
10937291.0,8.0,11221,11211,21211,21221,Spreadsheet17,2
10937291.0,9.0,21121,11121,21111,11111,Spreadsheet17,1
10937291.0,10.0,21111,11121,11111,21121,Spreadsheet17,1
10937310.0,1.0,11221,21221,21111,21211,Spreadsheet6,2
10937310.0,2.0,21211,11211,21121,11121,Spreadsheet6,2
10937310.0,3.0,21121,21221,21211,21111,Spreadsheet6,2
10937310.0,4.0,11211,21221,21211,11221,Spreadsheet6,1
10937310.0,5.0,21221,11221,11111,21111,Spreadsheet6,2
10937310.0,6.0,11111,21111,21211,11211,Spreadsheet6,1
10937310.0,7.0,21111,11111,11221,11121,Spreadsheet6,1
10937310.0,8.0,11211,11221,11111,11121,Spreadsheet6,1
10937310.0,9.0,11221,11211,11121,11111,Spreadsheet6,1
10937310.0,10.0,21121,11121,21221,11221,Spreadsheet6,2
10937320.0,1.0,11111,21121,21111,11121,Spreadsheet9,1
10937320.0,2.0,21221,11221,11211,21211,Spreadsheet9,2
10937320.0,3.0,21211,21221,21121,21111,Spreadsheet9,2
10937320.0,4.0,11121,11111,21121,21111,Spreadsheet9,1
10937320.0,5.0,21221,21111,21211,21121,Spreadsheet9,2
10937320.0,6.0,21121,21211,21221,21111,Spreadsheet9,1
10937320.0,7.0,21211,21111,11111,11211,Spreadsheet9,2
10937320.0,8.0,21121,11121,21111,11111,Spreadsheet9,2
10937320.0,9.0,21111,11121,11111,21121,Spreadsheet9,1
10937320.0,10.0,11221,11121,21221,21121,Spreadsheet9,1
10937323.0,1.0,21211,21111,11111,11211,Spreadsheet48,1
10937323.0,2.0,21121,11121,21221,11221,Spreadsheet48,2
10937323.0,3.0,11221,21111,11121,21211,Spreadsheet48,2
10937323.0,4.0,11111,11211,21221,11121,Spreadsheet48,2
10937323.0,5.0,21221,21121,21211,11111,Spreadsheet48,1
10937323.0,6.0,21221,11111,21211,11121,Spreadsheet48,2
10937323.0,7.0,21221,11111,11211,11121,Spreadsheet48,2
10937323.0,8.0,11221,21221,21121,11111,Spreadsheet48,1
10937323.0,9.0,11111,21211,21221,21121,Spreadsheet48,1
10937323.0,10.0,21111,21211,21221,11211,Spreadsheet48,1
10937326.0,1.0,11221,21221,11121,21111,Spreadsheet35,2
10937326.0,2.0,11221,21121,21221,11121,Spreadsheet35,2
10937326.0,3.0,11211,21221,11111,21121,Spreadsheet35,2
