Spreadsheet;bug_id;dimension;dim_value;feature_type
Spreadsheet26;2;1;1;weak
Spreadsheet26;2;4;2;weak
Spreadsheet27;1;4;1;strong
Spreadsheet27;1;1;2;weak
Spreadsheet27;1;3;1;weak
Spreadsheet27;2;4;2;strong
Spreadsheet27;2;1;1;weak
Spreadsheet27;2;3;2;weak
Spreadsheet28;1;3;1;strong
Spreadsheet28;1;1;2;weak
Spreadsheet28;1;4;1;weak
Spreadsheet28;2;3;2;strong
Spreadsheet28;2;1;1;weak
Spreadsheet28;2;4;2;weak
Spreadsheet29;1;1;2;strong
Spreadsheet29;1;3;1;weak
Spreadsheet29;1;4;1;weak
Spreadsheet29;2;1;1;strong
Spreadsheet29;2;3;2;weak
Spreadsheet29;2;4;2;weak
Spreadsheet30;1;1;2;strong
Spreadsheet30;1;3;1;weak
Spreadsheet30;1;4;1;weak
Spreadsheet30;2;1;1;strong
Spreadsheet30;2;3;2;weak
Spreadsheet30;2;4;2;weak
Spreadsheet31;1;4;2;strong
Spreadsheet31;1;1;2;weak
Spreadsheet31;1;3;1;weak
Spreadsheet31;2;4;1;strong
Spreadsheet31;2;1;1;weak
Spreadsheet31;2;3;2;weak
Spreadsheet32;1;3;1;strong
Spreadsheet32;1;1;2;weak
Spreadsheet32;1;4;2;weak
Spreadsheet32;2;3;2;strong
Spreadsheet32;2;1;1;weak
Spreadsheet32;2;4;1;weak
Spreadsheet33;1;4;2;strong
Spreadsheet33;1;1;2;weak
Spreadsheet33;1;3;1;weak
Spreadsheet33;2;4;1;strong
Spreadsheet33;2;1;1;weak
Spreadsheet33;2;3;2;weak
Spreadsheet34;1;3;1;strong
Spreadsheet34;1;1;2;weak
Spreadsheet34;1;4;2;weak
Spreadsheet34;2;3;2;strong
Spreadsheet34;2;1;1;weak
Spreadsheet34;2;4;1;weak
Spreadsheet35;1;1;2;strong
Spreadsheet35;1;3;1;weak
Spreadsheet35;1;4;2;weak
Spreadsheet35;2;1;1;strong
Spreadsheet35;2;3;2;weak
Spreadsheet35;2;4;1;weak
Spreadsheet36;1;1;2;strong
Spreadsheet36;1;3;1;weak
Spreadsheet36;1;4;2;weak
Spreadsheet36;2;1;1;strong
Spreadsheet36;2;3;2;weak
Spreadsheet36;2;4;1;weak
Spreadsheet37;1;4;1;strong
Spreadsheet37;1;1;2;weak
Spreadsheet37;1;3;2;weak
Spreadsheet37;2;4;2;strong
Spreadsheet37;2;1;1;weak
Spreadsheet37;2;3;1;weak
Spreadsheet38;1;3;2;strong
Spreadsheet38;1;1;2;weak
Spreadsheet38;1;4;1;weak
Spreadsheet38;2;3;1;strong
Spreadsheet38;2;1;1;weak
Spreadsheet38;2;4;2;weak
Spreadsheet39;1;4;1;strong
Spreadsheet39;1;1;2;weak
Spreadsheet39;1;3;2;weak
Spreadsheet39;2;4;2;strong
Spreadsheet39;2;1;1;weak
Spreadsheet39;2;3;1;weak
Spreadsheet40;1;3;2;strong
Spreadsheet40;1;1;2;weak
Spreadsheet40;1;4;1;weak
Spreadsheet40;2;3;1;strong
Spreadsheet40;2;1;1;weak
Spreadsheet40;2;4;2;weak
Spreadsheet41;1;1;2;strong
Spreadsheet41;1;3;2;weak
Spreadsheet41;1;4;1;weak
Spreadsheet41;2;1;1;strong
Spreadsheet41;2;3;1;weak
Spreadsheet41;2;4;2;weak
Spreadsheet42;1;1;2;strong
Spreadsheet42;1;3;2;weak
Spreadsheet42;1;4;1;weak
Spreadsheet42;2;1;1;strong
Spreadsheet42;2;3;1;weak
Spreadsheet42;2;4;2;weak
Spreadsheet43;1;4;2;strong
Spreadsheet43;1;1;2;weak
Spreadsheet43;1;3;2;weak
Spreadsheet43;2;4;1;strong
Spreadsheet43;2;1;1;weak
Spreadsheet43;2;3;1;weak
Spreadsheet44;1;3;2;strong
Spreadsheet44;1;1;2;weak
Spreadsheet44;1;4;2;weak
Spreadsheet44;2;3;1;strong
Spreadsheet44;2;1;1;weak
Spreadsheet44;2;4;1;weak
Spreadsheet45;1;4;2;strong
Spreadsheet45;1;1;2;weak
Spreadsheet45;1;3;2;weak
Spreadsheet45;2;4;1;strong
Spreadsheet45;2;1;1;weak
Spreadsheet45;2;3;1;weak
Spreadsheet46;1;3;2;strong
Spreadsheet46;1;1;2;weak
Spreadsheet46;1;4;2;weak
Spreadsheet46;2;3;1;strong
Spreadsheet46;2;1;1;weak
Spreadsheet46;2;4;1;weak
Spreadsheet47;1;1;2;strong
Spreadsheet47;1;3;2;weak
Spreadsheet47;1;4;2;weak
Spreadsheet47;2;1;1;strong
Spreadsheet47;2;3;1;weak
Spreadsheet47;2;4;1;weak
Spreadsheet48;1;1;2;strong
Spreadsheet48;1;3;2;weak
Spreadsheet48;1;4;2;weak
Spreadsheet48;2;1;1;strong
Spreadsheet48;2;3;1;weak
Spreadsheet48;2;4;1;weak
