id,trial,input,label,Spreadsheet,block
10937462.0,1.0,11211,0,Spreadsheet40,1.0
10937462.0,2.0,11111,1,Spreadsheet40,1.0
10937462.0,3.0,11121,1,Spreadsheet40,1.0
10937462.0,4.0,11121,1,Spreadsheet40,1.0
10937462.0,5.0,21211,0,Spreadsheet40,1.0
10937462.0,6.0,21211,0,Spreadsheet40,1.0
10937462.0,7.0,21211,0,Spreadsheet40,1.0
10937462.0,8.0,21121,1,Spreadsheet40,1.0
10937462.0,9.0,21211,1,Spreadsheet40,1.0
10937462.0,10.0,21221,0,Spreadsheet40,1.0
10937462.0,11.0,11121,1,Spreadsheet40,1.0
10937462.0,12.0,21211,0,Spreadsheet40,1.0
10937462.0,13.0,11121,0,Spreadsheet40,1.0
10937462.0,14.0,11121,1,Spreadsheet40,1.0
10937462.0,15.0,21211,0,Spreadsheet40,2.0
10937462.0,16.0,11121,0,Spreadsheet40,2.0
10937462.0,17.0,11121,1,Spreadsheet40,2.0
10937462.0,18.0,21211,0,Spreadsheet40,2.0
10937462.0,19.0,21211,0,Spreadsheet40,2.0
10937462.0,20.0,11121,1,Spreadsheet40,2.0
10937462.0,21.0,11211,0,Spreadsheet40,2.0
10937462.0,22.0,11121,1,Spreadsheet40,2.0
10937462.0,23.0,21121,1,Spreadsheet40,2.0
10937462.0,24.0,21211,1,Spreadsheet40,2.0
10937462.0,25.0,21221,0,Spreadsheet40,2.0
10937462.0,26.0,11111,1,Spreadsheet40,2.0
10937462.0,27.0,11121,1,Spreadsheet40,2.0
10937462.0,28.0,21211,0,Spreadsheet40,2.0
10937462.0,29.0,21211,0,Spreadsheet40,3.0
10937462.0,30.0,11121,0,Spreadsheet40,3.0
10937462.0,31.0,11121,1,Spreadsheet40,3.0
10937462.0,32.0,11211,0,Spreadsheet40,3.0
10937462.0,33.0,11121,1,Spreadsheet40,3.0
10937462.0,34.0,21121,1,Spreadsheet40,3.0
10937462.0,35.0,21211,0,Spreadsheet40,3.0
10937462.0,36.0,21211,1,Spreadsheet40,3.0
10937462.0,37.0,21211,0,Spreadsheet40,3.0
10937462.0,38.0,11111,1,Spreadsheet40,3.0
10937462.0,39.0,21221,0,Spreadsheet40,3.0
10937462.0,40.0,11121,1,Spreadsheet40,3.0
10937462.0,41.0,11121,1,Spreadsheet40,3.0
10937462.0,42.0,21211,0,Spreadsheet40,3.0
10937462.0,43.0,11211,0,Spreadsheet40,4.0
10937462.0,44.0,21211,0,Spreadsheet40,4.0
10937462.0,45.0,11121,1,Spreadsheet40,4.0
10937462.0,46.0,21121,1,Spreadsheet40,4.0
10937462.0,47.0,11121,1,Spreadsheet40,4.0
10937462.0,48.0,11121,1,Spreadsheet40,4.0
10937462.0,49.0,21211,0,Spreadsheet40,4.0
10937462.0,50.0,21211,0,Spreadsheet40,4.0
10937462.0,51.0,11111,1,Spreadsheet40,4.0
10937462.0,52.0,21211,1,Spreadsheet40,4.0
10937462.0,53.0,21211,0,Spreadsheet40,4.0
10937462.0,54.0,11121,1,Spreadsheet40,4.0
10937462.0,55.0,11121,0,Spreadsheet40,4.0
10937462.0,56.0,21221,0,Spreadsheet40,4.0
10937462.0,57.0,21221,0,Spreadsheet40,5.0
10937462.0,58.0,11121,1,Spreadsheet40,5.0
10937462.0,59.0,21211,0,Spreadsheet40,5.0
10937462.0,60.0,11121,1,Spreadsheet40,5.0
10937462.0,61.0,21121,1,Spreadsheet40,5.0
10937462.0,62.0,11121,0,Spreadsheet40,5.0
10937462.0,63.0,21211,0,Spreadsheet40,5.0
10937462.0,64.0,21211,1,Spreadsheet40,5.0
10937462.0,65.0,11121,1,Spreadsheet40,5.0
10937462.0,66.0,11211,0,Spreadsheet40,5.0
10937462.0,67.0,11111,1,Spreadsheet40,5.0
10937462.0,68.0,21211,0,Spreadsheet40,5.0
10937462.0,69.0,21211,0,Spreadsheet40,5.0
10937462.0,70.0,11121,1,Spreadsheet40,5.0
10937462.0,71.0,21211,0,Spreadsheet40,6.0
10937462.0,72.0,21211,0,Spreadsheet40,6.0
10937462.0,73.0,21121,1,Spreadsheet40,6.0
10937462.0,74.0,11121,1,Spreadsheet40,6.0
10937462.0,75.0,21211,0,Spreadsheet40,6.0
10937462.0,76.0,21221,0,Spreadsheet40,6.0
10937462.0,77.0,11111,1,Spreadsheet40,6.0
10937462.0,78.0,21211,0,Spreadsheet40,6.0
10937462.0,79.0,11121,0,Spreadsheet40,6.0
10937462.0,80.0,11121,1,Spreadsheet40,6.0
10937462.0,81.0,11211,0,Spreadsheet40,6.0
10937462.0,82.0,21211,1,Spreadsheet40,6.0
10937462.0,83.0,11121,1,Spreadsheet40,6.0
10937462.0,84.0,11121,1,Spreadsheet40,6.0
10937462.0,85.0,21121,1,Spreadsheet40,7.0
10937462.0,86.0,21211,0,Spreadsheet40,7.0
10937462.0,87.0,21211,0,Spreadsheet40,7.0
10937462.0,88.0,21211,1,Spreadsheet40,7.0
10937462.0,89.0,11121,1,Spreadsheet40,7.0
10937462.0,90.0,11211,0,Spreadsheet40,7.0
10937462.0,91.0,21221,0,Spreadsheet40,7.0
10937462.0,92.0,11111,1,Spreadsheet40,7.0
10937462.0,93.0,11121,1,Spreadsheet40,7.0
10937462.0,94.0,21211,0,Spreadsheet40,7.0
